,Herschel_RA,Herschel_Dec,F_BLIND_MF_SPIRE_250,FErr_BLIND_MF_SPIRE_250,F_BLIND_MF_SPIRE_350,FErr_BLIND_MF_SPIRE_350,F_BLIND_MF_SPIRE_500,FErr_BLIND_MF_SPIRE_500,r,P,RA_pix,Dec_pix,F_BLIND_pix_SPIRE_250,FErr_BLIND_pix_SPIRE_250,ID_match,Project_match,Time_match,RA,RA_ERR_match,DEC,DEC_ERR_match,flux_match,flux_err_match,RMS_match,SNR_match,NPIX_match,RES_match,Multi_match,GroupID,GroupSize,Separation,s,s_norm
479,149.61176515617137,1.833110816527564,0.024994742449442994,0.0025557705119905304,0.023032948742245825,0.0025558105501652753,0.01081461115282555,0.0025523876657714555,0.8740673521454767,0.9810333551340745,149.61148716884702,1.83338849207959,0.024675592203987913,0.0024862614496398232,10174.0,b'COSMOSVLA3',b'J095826.56+014959.1',149.610688,0.1,1.833096,0.1,12.0,2.4,2.31,5.17,14.0,0.0,0.0,,,3.8761447738146795,0.013040628233246032,0.15452147456567517
3372,150.42936203164936,1.7892701588667916,0.026034848956685768,0.0025451653950104335,0.027291263214248976,0.002504521208675314,0.018764910973796883,0.0025555902342242207,0.9084326014482613,0.9731469152241455,150.43019589851397,1.7901032930603276,0.021029727792577026,0.0024875235240688913,9132.0,b'COSMOSVLA3',b'J100143.06+014723.7',150.429445,0.098,1.789937,0.098,12.0,2.3,2.19,5.5,15.0,0.0,0.0,456,2,2.419119991346002,0.005099772917840917,0.06042719067575407
3088,150.3573947337414,1.8428889007454672,0.028435896665628665,0.0025651848986802213,0.03606679299195201,0.0024941370621342283,0.026975175694365344,0.002541872804029519,0.9221240594776171,0.9850746268656716,150.35683873431668,1.8417779204710296,0.027924660256801834,0.0024448826913789257,9948.0,b'COSMOSVLA3',b'J100125.55+015032.2',150.356463,0.1,1.842294,0.1,12.0,2.4,2.3,5.21,13.0,0.0,0.0,661,2,3.9781826613732374,0.013731445971579936,0.1627072426983448
1974,150.0519633950105,1.9181785235977056,0.014596947565417273,0.002544691081441767,0.007862251210272394,0.002523032412279316,0.002983437088052523,0.0025985725124773496,0.8194642535914425,0.9469451107661916,150.05168545282496,1.9184562825741462,0.0170948426412976,0.0024757443368703873,10103.0,b'COSMOSVLA3',b'J100012.47+015504.2',150.051997,0.1,1.917854,0.1,12.0,2.3,2.23,5.35,13.0,0.0,0.0,,,1.1745250107534906,0.0012045050677216285,0.014270646530520743
2947,150.3221455072732,2.1764969942891086,0.014193192742969487,0.0025443019202962564,0.01772729308658926,0.002476204122699449,0.006891820064771015,0.0025930621254698174,0.8485251577007719,0.8976009969882646,150.32186734310685,2.17510815187611,0.014681252352790344,0.0024783931115100574,10266.0,b'COSMOSVLA3',b'J100117.33+021031.9',150.322228,0.1,2.175555,0.1,12.0,2.4,2.3,5.24,16.0,0.0,0.0,15,2,3.4041392890186484,0.010073116056039,0.119358268316693
3566,150.48454010357474,2.417571947710566,0.01558486848825541,0.002513175163384095,0.009482691031963324,0.0024543042391551094,0.002135418162513688,0.0025609549521696338,0.5042894738860759,0.940337909186906,150.48370586185348,2.4167388646851435,0.016537665868026817,0.002468782971827071,9425.0,b'COSMOSVLA3',b'J100156.28+022459.5',150.484538,0.099,2.416531,0.099,12.0,2.3,2.2,5.44,15.0,0.0,0.0,,,3.7474193961494984,0.012194076548578403,0.1444903543171956
1583,149.93933069365596,2.5056622907853314,0.019499891700736578,0.0025036216797326484,0.02291238261687087,0.0025663482586421745,0.01815979859495023,0.0024954011662408977,0.9000084686459491,0.9528843249773482,149.93988663304327,2.5067734445680143,0.017668042425425627,0.002410233655250812,9071.0,b'COSMOSVLA3',b'J095945.33+023016.8',149.938877,0.1,2.504685,0.1,12.0,2.3,2.23,5.38,20.0,0.0,0.0,629,2,3.8782242990273232,0.01305453264606149,0.15468623336240606
3298,150.4145547846949,2.790898945005865,0.01649108205306121,0.0024984142179664414,0.02190723104290412,0.0025205521879504873,0.008791204382319276,0.0025100306522047454,0.7210622997187884,0.883805588351043,150.41538921002197,2.7917319746620497,0.014270856730560005,0.002433432947786788,9072.0,b'COSMOSVLA3',b'J100139.60+024727.4',150.415034,0.099,2.79096,0.099,12.0,2.3,2.23,5.41,20.0,0.0,0.0,,,1.7370906710887553,0.002632803345589352,0.031195108480664535
4216,150.67746029069798,2.37639777236349,0.01015805287518133,0.002479113727968206,0.003603437834128401,0.0025171402423397413,0.0033526508533843814,0.002521622278224713,0.6524702170941081,0.8602684316970031,150.67718240573421,2.376675646872797,0.013723164630914005,0.0024130600805353647,10572.0,b'COSMOSVLA3',b'J100242.41+022234.9',150.676734,0.11,2.376366,0.11,12.0,2.4,2.36,5.1,14.0,0.0,0.0,,,2.614900738257845,0.0059560677593820666,0.07057376138044111
3598,150.49006853908259,2.290351654893674,0.02118501245852321,0.0025040197736610923,0.01908791532586846,0.0024899208042877524,0.010860084160939122,0.0025241341994764223,0.879546288632929,0.97224043715847,150.49034645763402,2.2900738116520842,0.020956059674182074,0.0024366738572047337,9987.0,b'COSMOSVLA3',b'J100157.51+021724.7',150.489658,0.1,2.290198,0.1,12.1,2.4,2.27,5.34,15.0,0.0,0.0,504,2,1.5769602924277857,0.00215573913128575,0.02554218901148325
2735,150.2668158196533,2.0501153716601612,0.01740528934564492,0.0025185297910132937,0.0244126184254611,0.002549442627463137,0.01989608221496805,0.002453812388995081,0.7471250272289442,0.945350620381988,150.2651479399714,2.0484488763931092,0.016958067809230586,0.0024471401480414003,10454.0,b'COSMOSVLA3',b'J100103.89+020257.4',150.266214,0.1,2.049299,0.1,12.1,2.4,2.35,5.16,11.0,0.0,0.0,60,5,3.6503827055758977,0.011497181703525983,0.13623257618282095
2121,150.0908775820102,1.7126344028549805,0.019110566809615377,0.0025033850931283482,0.007869703890256059,0.0024862144977421527,0.004667862061521003,0.0025539217638294916,0.6147438330037732,0.9610648918469218,150.0900438918409,1.7134676588174673,0.018407502104656585,0.0024369168807642596,9478.0,b'COSMOSVLA3',b'J100021.70+014244.2',150.090419,0.1,1.712301,0.1,12.1,2.3,2.25,5.38,15.0,0.0,0.0,,,2.040495497615771,0.003606700997413226,0.04273520063580891
1019,149.7795240148024,2.232026686857046,0.012821689888970762,0.0025552359394099386,0.006380722069184518,0.002469548505070462,0.005294268658272238,0.0025617568897668684,0.5156849683385294,0.9270534861509073,149.77813418481156,2.2317485918978384,0.015721372935170598,0.002479494520679805,9155.0,b'COSMOSVLA3',b'J095906.91+021356.5',149.778805,0.098,2.232363,0.098,12.1,2.3,2.21,5.49,13.0,0.0,0.0,706,2,2.8558338015175564,0.007052662417630473,0.0835677380979394
2200,150.10865969803058,2.091510669425201,0.012113044614339104,0.0025130598708734716,0.01339291394914812,0.0025141947266749142,0.009679169852203328,0.0025057605440675606,0.7617959907038606,0.8950117791662399,150.11004950758226,2.0917884553478157,0.01455299087477959,0.002434495919946328,9120.0,b'COSMOSVLA3',b'J100026.28+020530.2',150.109514,0.097,2.091737,0.097,12.2,2.3,2.2,5.56,18.0,0.0,0.0,,,3.1796075380832747,0.008735072659837861,0.10350327157157714
1291,149.86350502262113,2.054823693252873,0.018735015232345716,0.0025688224269465845,0.016269183857386654,0.0024758077190299935,0.007893533914701385,0.0025593799747646692,0.7688553141057931,0.9504530838935984,149.86322702459637,2.0551014214102468,0.017331121178384718,0.0024998688607837903,9441.0,b'COSMOSVLA3',b'J095927.31+020318.2',149.863809,0.099,2.055082,0.099,12.2,2.3,2.24,5.44,15.0,0.0,0.0,,,1.4355191825702163,0.001786705425573576,0.021169365066074367
3469,150.45785084612476,2.4175788412230763,0.024449904110469326,0.0025293831899791874,0.020123145503202773,0.002492561322015834,0.010856600497489979,0.002509993252786352,0.7103831625531561,0.9714285714285714,150.45868507837147,2.4184119422537846,0.0208575460939607,0.00244210858943646,9864.0,b'COSMOSVLA3',b'J100149.89+022505.6',150.457895,0.1,2.418238,0.1,12.2,2.4,2.31,5.28,16.0,0.0,0.0,,,2.3782799643184105,0.004896477296772561,0.058018261772935016
1967,150.04889016205786,2.251230998284607,0.01599519184716774,0.0024968543293475997,0.018025201658869255,0.0024974581869159672,0.021219582885156952,0.002474933275403546,0.69387162451795,0.9540933435348126,150.04833415141937,2.251786526002631,0.01775817501336811,0.002430186111319582,9104.0,b'COSMOSVLA3',b'J100011.57+021505.2',150.048233,0.095,2.251464,0.095,12.2,2.3,2.17,5.64,19.0,0.0,0.0,,,2.5083639824437314,0.0054452674926162015,0.06452109030118437
1697,149.9757580117954,2.4609456914806427,0.02415983326411835,0.002481846779392584,0.013378131667570365,0.0025136695212544463,0.008991144933149915,0.0025182495045921738,0.7114847203166346,0.9827127659574468,149.9765920208105,2.4617790968921756,0.024832903732745826,0.002436441648762235,10666.0,b'COSMOSVLA3',b'J095953.95+022738.9',149.974807,0.11,2.460812,0.11,12.2,2.5,2.42,5.06,15.0,0.0,0.0,213,2,3.4541797326249664,0.01030069808629197,0.12205497633016411
2344,150.15174660384582,2.2201212860873984,0.012814147939612261,0.002517768303976041,0.007575453729547767,0.0025270622361806454,0.002113242623132607,0.0025473497776528345,0.5478787479571099,0.874712202609363,150.15174656816183,2.218454619638604,0.014047717310401754,0.0023940378687685106,10687.0,b'COSMOSVLA3',b'J100036.54+021309.4',150.152287,0.1,2.219304,0.1,12.2,2.4,2.35,5.17,16.0,0.0,0.0,,,3.5264319434819225,0.01073378600300734,0.12718680354097528
1803,150.00468216684297,2.345394440385691,0.022433015176462966,0.002500148456448514,0.015198172359580268,0.002475980881659527,0.0005173921313745985,0.0025470325906162272,0.8174414758712157,0.97224043715847,150.00496019729874,2.3451166874209104,0.02090693096255,0.0024331296799098025,9713.0,b'COSMOSVLA3',b'J100001.17+022041.3',150.004897,0.1,2.344809,0.1,12.2,2.4,2.29,5.33,18.0,0.0,0.0,336,2,2.24478534964308,0.004363386033744088,0.05170145600702128
1645,149.96210784222512,2.7112101883227955,0.012928541196658136,0.0025063831213312728,0.010183721415107498,0.002508190228429906,0.0008962843931952741,0.0025065668273828883,0.7799203709058489,0.8655618657480681,149.96155162952493,2.7117656277836066,0.013825370292815988,0.0024394389457355016,9484.0,b'COSMOSVLA3',b'J095951.02+024240.2',149.962589,0.1,2.71117,0.1,12.2,2.4,2.27,5.39,16.0,0.0,0.0,,,1.7362673879598618,0.002612693598885829,0.03095682026861201
3981,150.60364997216675,2.7919474602752423,0.01717902442041497,0.0025260833384275596,0.01445787421636344,0.0025437283786397947,0.01579571274028216,0.0025997685988811267,0.7148110694999982,0.9483373769088055,150.60392795541276,2.7916696061502577,0.017187375670987312,0.0024590407838247594,9495.0,b'COSMOSVLA3',b'J100225.04+024731.2',150.604374,0.1,2.792026,0.1,12.2,2.4,2.26,5.37,20.0,0.0,0.0,,,2.618714826078415,0.0059334598206438605,0.07030587111908956
1272,149.8552166266538,1.774833652698468,0.021257607979658893,0.0025416875139120053,0.020695025055676535,0.0025162267989584275,0.013528264086434694,0.0025319381674329,0.7688006815723744,0.9766355140186916,149.8549386800135,1.7751113712064868,0.022393412231939674,0.0024727002263083037,9220.0,b'COSMOSVLA3',b'J095925.47+014629.7',149.856155,0.1,1.774937,0.1,12.2,2.4,2.28,5.34,20.0,0.0,0.0,627,2,3.3969591060895925,0.009963941777441754,0.11806461981715696
2618,150.2345934234612,2.310672487083673,0.01994897511786288,0.0025365568575748073,0.01487662363225196,0.002505257512351037,0.0061641291794242705,0.002546252146363234,0.8457331166744558,0.9617587601078167,150.23514938493972,2.310116889233399,0.01853250561901401,0.0024678170316897404,10045.0,b'COSMOSVLA3',b'J100056.37+021834.6',150.234877,0.099,2.309612,0.099,12.3,2.3,2.25,5.45,13.0,0.0,0.0,,,3.951675003147567,0.013293877050622127,0.1575223183250048
1948,150.0424868439604,2.432618382908908,0.015026247366860387,0.0024854172665076703,0.009443738562373252,0.0024632499355540945,-0.004244065312611567,0.0025597593633815254,0.3127527688923357,0.9439406430338005,150.04332087832987,2.4334517512724685,0.01680381447877959,0.002440147125231443,9459.0,b'COSMOSVLA3',b'J100010.19+022601.4',150.042489,0.1,2.433729,0.1,12.3,2.4,2.29,5.38,15.0,0.0,0.0,,,3.998229048276883,0.013606794891822593,0.1612302035608707
1678,149.97155185690895,2.81675692932628,0.01205472560701025,0.0025022273595431644,0.008619142512340775,0.002504690309664992,0.002605478705317968,0.0025432247059933434,0.7032589625761678,0.9239016431651322,149.97155185690895,2.8167569293262806,0.015528207043347196,0.002435594509615625,9949.0,b'COSMOSVLA3',b'J095953.06+024858.8',149.971115,0.1,2.816342,0.1,12.3,2.5,2.36,5.21,11.0,0.0,0.0,,,2.1676350025093685,0.004018743172817252,0.047617648670326355
789,149.7055867544266,2.215897037641665,0.03737660910040625,0.0024919363515357616,0.04445320921308585,0.002524069082753865,0.03607975395067851,0.002524617828051668,0.9235536342495213,0.9866385372714487,149.7064204349998,2.2167305821178753,0.033294836288787835,0.002437696776143117,10059.0,b'COSMOSVLA3',b'J095849.27+021255.0',149.705293,0.1,2.215295,0.1,12.3,2.4,2.34,5.23,9.0,0.0,0.0,727,3,2.4112261855214516,0.0049703438002542955,0.0588935347092247
1351,149.8776407683825,2.297323256148075,0.015197587662459143,0.002501750781867553,0.012713006150112251,0.0025323212147816978,0.0053290664534462375,0.002492687393690616,0.7495827607394647,0.9515550239234449,149.8765288759809,2.2967675178153657,0.017577665446276838,0.0024446445309495727,9876.0,b'COSMOSVLA3',b'J095930.68+021751.1',149.877865,0.1,2.297551,0.1,12.3,2.4,2.33,5.26,15.0,0.0,0.0,,,1.1501213041056255,0.0011330086250960214,0.013423457367348072
1728,149.9869001584195,2.228171169792142,0.01623914356217469,0.002511253009117887,0.0055266207919507935,0.0024945044696040447,-0.0015220805990209811,0.0025133326449429407,0.36769662809069814,0.9270534861509073,149.9866221469215,2.2284489216872796,0.01577589441183997,0.0024440159492625656,9252.0,b'COSMOSVLA3',b'J095956.81+021342.7',149.986734,0.099,2.228548,0.099,12.3,2.4,2.26,5.45,9.0,0.0,0.0,,,1.4824303704724693,0.0018816193217876531,0.022294036746987655
4149,150.65610985172688,2.527785860296126,0.022090654905610758,0.0025300945198271536,0.02893870081279917,0.0025392337297286045,0.020435125596254274,0.0025642995340219013,0.7656856543642743,0.9681234963913392,150.65388529071197,2.5266757449923705,0.020197860349883814,0.0024477595216492788,9936.0,b'COSMOSVLA3',b'J100237.25+023140.0',150.655237,0.1,2.527801,0.1,12.3,2.5,2.36,5.22,13.0,0.0,0.0,,,3.139681722714804,0.008412597432368552,0.09968213714766955
2104,150.08504334727675,1.6501397788879362,0.022056989406908225,0.002539934193538906,0.0122651115438918,0.0025120829151979505,-0.0025580156728828105,0.0025584050091770057,0.615034818274446,0.9759282970550576,150.08504334727675,1.6501397788879364,0.022258533326455863,0.0024714115347445036,10795.0,b'COSMOSVLA3',b'J100020.37+013859.3',150.084894,0.11,1.649829,0.11,12.3,2.5,2.43,5.05,13.0,0.0,0.0,,,1.2411891303169276,0.0013194147291454295,0.015632255812423928
3861,150.56325419524802,2.5422643924412287,0.016784191901797117,0.002535068979483346,0.009541656065072766,0.002448281840910595,0.0003070908616457139,0.002558530581983766,0.7703288423248408,0.9513025458851392,150.56381008930148,2.541708680706301,0.01749076838666945,0.002466172099901044,9715.0,b'COSMOSVLA3',b'J100215.22+023232.3',150.563449,0.1,2.542324,0.1,12.4,2.4,2.3,5.39,16.0,0.0,0.0,,,0.7327329922455744,0.0004600273432017188,0.005449040346007977
