,Herschel_RA,Herschel_Dec,F_BLIND_MF_SPIRE_250,FErr_BLIND_MF_SPIRE_250,F_BLIND_MF_SPIRE_350,FErr_BLIND_MF_SPIRE_350,F_BLIND_MF_SPIRE_500,FErr_BLIND_MF_SPIRE_500,r,P,RA_pix,Dec_pix,F_BLIND_pix_SPIRE_250,FErr_BLIND_pix_SPIRE_250,ID_match,Project_match,Time_match,RA,RA_ERR_match,DEC,DEC_ERR_match,flux_match,flux_err_match,RMS_match,SNR_match,NPIX_match,RES_match,Multi_match,GroupID,GroupSize,Separation,s,s_norm
3096,150.359743936627,2.6206476015907527,0.01906129908170135,0.002511984814879567,0.022177552564328858,0.002518029781592592,0.019848815407644018,0.0025594099815312854,0.883564201840164,0.9513025458851392,150.36029996006988,2.6200919720858153,0.017453789459590606,0.0024445917791686435,9014.0,b'COSMOSVLA3',b'J100126.35+023714.4',150.35983,0.097,2.620677,0.097,12.8,2.4,2.31,5.54,16.0,0.0,0.0,,,0.32709889344653265,8.886626651960494e-05,0.0010510083543579843
2979,150.3343323975588,1.8726126700525743,0.014260331379881346,0.0025545566483441253,0.010567992679130375,0.0024941548046686374,0.013007034769951192,0.0025879421001734973,0.5720653240164099,0.8655618657480681,150.33516627052902,1.8734458655010267,0.013863548493787969,0.0024563006263102678,9535.0,b'COSMOSVLA3',b'J100120.33+015221.4',150.334708,0.1,1.872631,0.1,12.8,2.5,2.38,5.36,15.0,0.0,0.0,,,1.3530567074635054,0.001519497241748935,0.018003111343036563
2220,150.11310356157767,2.843707710526164,0.01701301037724345,0.002523493234665492,0.011453836849124712,0.002482829864570435,0.005588471082750053,0.0025353449108949312,0.7417802671384931,0.9387622149837134,150.11171304507766,2.843429956788054,0.016491326808022396,0.002481753401588057,9051.0,b'COSMOSVLA3',b'J100027.10+025037.2',150.112947,0.1,2.843676,0.1,12.9,2.5,2.39,5.39,20.0,0.0,0.0,,,0.5743862335867217,0.0002739975144862017,0.0032447005337470545
1681,149.97218755930453,2.0212267653652667,0.01772268614566709,0.0024852670912732227,0.01495811219581401,0.0025315101990477677,0.009193972139385614,0.0025022763458855705,0.8687590595710912,0.9421221864951769,149.97163160911995,2.021782261953067,0.01664061238852494,0.002419225345392588,8763.0,b'COSMOSVLA3',b'J095953.36+020116.5',149.972368,0.095,2.021267,0.095,12.9,2.4,2.29,5.65,18.0,0.0,0.0,,,0.6651448680485215,0.00036740983515115566,0.004351579461815788
2849,150.29568542230638,1.7345692994892372,0.014536315610999452,0.002549825024047029,0.009561045146902801,0.0024713899010941854,-0.00016384590499034062,0.0025463425383439567,0.46671704522085133,0.9437821728528853,150.2951295055613,1.7334583238856967,0.016729525862380877,0.0024413409492942406,8606.0,b'COSMOSVLA3',b'J100110.88+014403.8',150.295352,0.092,1.734398,0.092,13.0,2.3,2.22,5.84,17.0,0.0,0.0,,,1.3489777004114292,0.0014910686499821635,0.017666249899521293
3003,150.33774680523862,2.4126034742206346,0.02267976555288988,0.002472070487380693,0.008734672644847931,0.002536327836687029,0.002983592115465981,0.0024569831074101114,0.7700164380215456,0.9797863124458562,150.3369126273069,2.4117702895523365,0.02346387949556663,0.002425213456258472,8225.0,b'COSMOSVLA3',b'J100120.96+022444.9',150.337365,0.091,2.412496,0.091,13.0,2.3,2.2,5.9,18.0,0.0,0.0,,,1.4267433706276815,0.0016677901306151321,0.019760291474094097
1329,149.8735348165196,1.913162319542586,0.019157904784796537,0.002514025236349125,0.01990895983497182,0.002596852613068376,0.01692539573504188,0.002527102910582969,0.7417350575010847,0.9694170771756979,149.87325684655139,1.9134400470348727,0.02031305536563277,0.0024465712070033986,7967.0,b'COSMOSVLA3',b'J095929.55+015447.3',149.873154,0.091,1.913149,0.091,13.1,2.3,2.22,5.89,20.0,0.0,0.0,,,1.371014050473349,0.0015301027996668104,0.018128780724721384
3439,150.4471795974737,1.9348146053061568,0.016266123687883948,0.0025543471372719527,0.005268535684759489,0.0025332388223457147,-0.004329105311545017,0.0025278929139351323,0.5161684937988478,0.940337909186906,150.4469017349714,1.9350924253707218,0.016552324466476982,0.002485127376926171,8610.0,b'COSMOSVLA3',b'J100147.35+015604.4',150.447293,0.094,1.934567,0.094,13.1,2.4,2.28,5.74,19.0,0.0,0.0,,,0.9803234500009517,0.0007825967803880562,0.009271291097503359
3332,150.42198029745393,2.3850880678623883,0.016905914586308392,0.002494337085073477,0.021562675322823265,0.0024814060250920454,0.014817315675249559,0.0025454293541851973,0.8270741864120809,0.955031787874089,150.42198029745393,2.3850880678623883,0.017861956725803457,0.0024279878565353465,9290.0,b'COSMOSVLA3',b'J100141.29+022306.6',150.422051,0.098,2.385181,0.098,13.1,2.5,2.39,5.51,19.0,0.0,0.0,716,2,0.42023851155520464,0.00014385657873494662,0.0017026099568639207
2304,150.14425071110023,2.815932882680475,0.016601788985727728,0.002545035438257858,0.015352306093383696,0.002485350030620855,0.006225118018922867,0.002500419219530364,0.8546559110861192,0.8555263872544583,150.1450850202344,2.816766107121313,0.013622327124106234,0.0024804079624442168,9508.0,b'COSMOSVLA3',b'J100034.55+024856.9',150.143988,0.099,2.815811,0.099,13.2,2.5,2.42,5.46,12.0,0.0,0.0,,,1.0415512600309034,0.000883361923247783,0.010465296476251136
4293,150.70717934137568,2.311666964351439,0.019758882916502636,0.0025275089272180024,0.01318448381518675,0.0025107401667538473,0.004807883950590455,0.002518396166365478,0.8177934279388186,0.9631816602987149,150.70717934137568,2.3116669643514394,0.018868315170700947,0.0024598826822034535,9773.0,b'COSMOSVLA3',b'J100249.71+021841.5',150.707159,0.1,2.311548,0.1,13.3,2.6,2.49,5.36,14.0,0.0,0.0,,,0.434477127968206,0.0001519260944793377,0.0017982287882300962
3347,150.4236623733327,2.453419215691113,0.024080550301643515,0.002461567888942113,0.02926120106622549,0.0025175738093251897,0.03182544493509067,0.0024522793952492564,0.8844038611799914,0.9823369565217391,150.4236623733327,2.453419215691113,0.02509209265405885,0.0023968269494189197,7898.0,b'COSMOSVLA3',b'J100141.75+022712.8',150.423976,0.089,2.453583,0.089,13.3,2.3,2.2,6.07,12.0,0.0,0.0,344,2,1.2728264748521403,0.0013031271827467217,0.015439258338746613
1569,149.9337386134207,2.7545357497518235,0.014768941155512692,0.002511487780512052,0.013119544551164299,0.002484085192358269,0.0012252663779680115,0.002546478902539821,0.6733434864328695,0.874712202609363,149.93151387156587,2.7550909039936675,0.014052804847845143,0.0024353309879648934,8444.0,b'COSMOSVLA3',b'J095944.08+024517.1',149.933703,0.092,2.754762,0.092,13.4,2.4,2.28,5.88,14.0,0.0,0.0,267,2,0.8245065871018127,0.0005470171935955115,0.0064798169252784825
1045,149.78669566664703,2.4798000844049035,0.01805409157334888,0.0025170960773754987,0.013907829881382902,0.00255966472267791,0.0006803391980845502,0.0025139374227993445,0.8185702589158879,0.9624277456647399,149.78641757820813,2.4800777816663078,0.018649420720590646,0.0024492343291421556,8771.0,b'COSMOSVLA3',b'J095908.77+022846.8',149.786572,0.094,2.479688,0.094,13.4,2.4,2.34,5.71,14.0,0.0,0.0,,,0.6005391840481943,0.00029023594367405536,0.003437115998484726
4339,150.72238842942653,2.116393766903388,0.019670495253728167,0.0025335748548330032,0.012988300265221993,0.0025642007311813737,0.008249411198158862,0.002532480935882753,0.8148252608563534,0.9739559946115851,150.72211060611218,2.1166716363108056,0.021148831173815733,0.0024651529188844776,9886.0,b'COSMOSVLA3',b'J100253.40+020700.1',150.722509,0.1,2.116719,0.1,13.5,2.7,2.56,5.27,11.0,0.0,0.0,,,1.2486033228798734,0.001241336521070946,0.014707076749921142
4021,150.6166121332213,2.472249427389337,0.021038895473534207,0.0025472350130003063,0.014135535122898318,0.0025332003137885266,0.004547527887719539,0.002540870417477786,0.6268704355633659,0.966732283464567,150.61716797245415,2.47169369595999,0.01995917128043049,0.0024787522198429462,8062.0,b'COSMOSVLA3',b'J100228.03+022819.1',150.616804,0.09,2.472,0.09,13.5,2.4,2.25,5.99,12.0,0.0,0.0,,,1.132475509995781,0.0010212828226895398,0.0120995748695685
2199,150.10782204381707,2.54734013009538,0.0151025925439714,0.0024756180685529612,0.009249941773941742,0.002608386923974929,0.003420063194227,0.0024634663445935946,0.7140304259718169,0.8555263872544583,150.108378144012,2.5467845981500603,0.013609964033280963,0.002409738801309499,8409.0,b'COSMOSVLA3',b'J100025.93+023249.3',150.108073,0.091,2.547048,0.091,13.7,2.4,2.31,5.95,15.0,0.0,0.0,,,1.385857897976073,0.001521536804890311,0.018027278920156847
908,149.7486678345063,2.234519173931363,0.017453114417338957,0.002555396080003861,0.01731101681941037,0.0024694209733553407,0.014722555028266021,0.0025749991177551066,0.8606244253043127,0.9128313186203837,149.7497796055938,2.235074998227322,0.015181126393717192,0.0024607495512099023,7547.0,b'COSMOSVLA3',b'J095859.65+021405.6',149.748565,0.086,2.234908,0.086,13.8,2.3,2.21,6.23,21.0,0.0,0.0,,,1.4478292741401184,0.0016431243979767585,0.019468017612268972
3456,150.45324715550413,1.7270487980558262,0.02020757665436232,0.0024855668657537636,0.01601895719993241,0.002501069765863586,0.00808085098894708,0.0025007337491462704,0.8935932851164663,0.9667056074766355,150.45352497741675,1.7267709965801719,0.01988554403219133,0.0024197598052521836,7519.0,b'COSMOSVLA3',b'J100148.70+014337.6',150.45294,0.086,1.727129,0.086,13.9,2.4,2.23,6.25,20.0,0.0,0.0,,,1.1423473227101948,0.0010232148513287243,0.012122468228537806
1008,149.7761015158538,2.6053465721692595,0.03231414486203658,0.0025131252479015207,0.01575433278359968,0.0025150303680628802,0.006154813247059315,0.002506639158065809,0.7655991677706442,0.9848982271831911,149.77637962918052,2.6050688879132684,0.03238832949821377,0.0024450743355839957,8267.0,b'COSMOSVLA3',b'J095906.20+023619.7',149.77587,0.094,2.60548,0.094,13.9,2.5,2.43,5.72,20.0,0.0,0.0,,,0.9612190100922139,0.000724569582729595,0.008583704257932128
3405,150.43820383958362,2.8456081449900874,0.021064143439247705,0.0025145231880316036,0.010971153013271747,0.0024470469139778995,0.00804785259169832,0.0025505859195065032,0.6237920631236693,0.9800512966657168,150.4370913387836,2.845052970513138,0.02333647538793048,0.0024335393752595923,9585.0,b'COSMOSVLA3',b'J100145.19+025043.4',150.438318,0.096,2.845392,0.096,13.9,2.6,2.48,5.58,17.0,0.0,0.0,,,0.8797499924735789,0.0006069871350204981,0.007190424091531422
1560,149.93193544878707,1.6265226195361218,0.023585623144702944,0.00249739886575198,0.0170039015321121,0.0025299994018049,0.0056187843772670925,0.002516771677432461,0.6149837316104672,0.980182447310475,149.93332477392127,1.626800495331058,0.024262035012689396,0.002438788223855972,8268.0,b'COSMOSVLA3',b'J095943.72+013735.3',149.932173,0.092,1.626475,0.092,14.0,2.5,2.38,5.86,18.0,0.0,0.0,318,2,0.871859768318186,0.0005894420022732882,0.006982524987967653
3831,150.55257130966172,2.139505210394541,0.02329609427907079,0.002504507061482175,0.02789279464939577,0.0025402057951747267,0.013788953594661205,0.0024853363437879247,0.8796308793969658,0.97440036900369,150.55201556077765,2.1400609056305315,0.021341573112935965,0.00243701824882659,7501.0,b'COSMOSVLA3',b'J100212.56+020821.3',150.552347,0.086,2.139251,0.086,14.0,2.4,2.24,6.26,20.0,0.0,0.0,,,1.220116596840473,0.0011540583812366112,0.01367288411691544
3046,150.3479323336462,1.7556732474204102,0.01920322134353584,0.002487029227354427,0.01705187377614926,0.0025167823452276875,0.009361520277640267,0.0025261671642602345,0.872666975933901,0.9731469152241455,150.348488037617,1.7551176645176652,0.021034165341891613,0.0024208547291753417,7492.0,b'COSMOSVLA3',b'J100123.48+014521.7',150.34787,0.085,1.756032,0.085,14.0,2.3,2.19,6.38,21.0,0.0,0.0,,,1.3108412665993594,0.0013319461042202718,0.01578074495080878
1494,149.91430227273725,2.542323980556535,0.03572114533437252,0.002518910663147718,0.03327761168508707,0.002507387166183953,0.01733434044295986,0.002507395895027516,0.8474822576512105,0.986697965571205,149.91485843657625,2.5417685348267978,0.034570480552290714,0.0024508492145969953,7283.0,b'COSMOSVLA3',b'J095939.49+023232.6',149.914544,0.085,2.542401,0.085,14.2,2.3,2.22,6.39,21.0,0.0,0.0,713,2,0.9125065601526188,0.0006417788974641958,0.007602685219883309
921,149.75101645483596,1.7339859807999523,0.016167636245815527,0.002521369157370016,0.01681212606127628,0.0025265830897903854,0.014923400948890123,0.0025067119541603445,0.9099495058746159,0.9180700955848885,149.7515723604331,1.7334305843996083,0.015316180879954174,0.002453583379185686,7017.0,b'COSMOSVLA3',b'J095900.27+014401.5',149.751157,0.082,1.733772,0.082,14.3,2.3,2.17,6.59,15.0,0.0,0.0,,,0.9215060718659086,0.0006463527027193994,0.007656882017715078
1989,150.05473634012628,2.062065103168418,0.017549393252543368,0.0025052018271409823,0.015427718230708133,0.0025284879741457066,0.011728312595398704,0.002556121863294358,0.7666243503823336,0.9624277456647399,150.05501430873832,2.061787338962656,0.018662851435885704,0.0024389665258006134,7994.0,b'COSMOSVLA3',b'J100013.11+020342.6',150.054658,0.086,2.061851,0.086,14.3,2.4,2.28,6.28,19.0,0.0,0.0,314,2,0.8206847057284726,0.0005126900456692285,0.006073061195093993
1795,150.0027091252664,2.6856611005750692,0.02003651019338763,0.0025064884280764027,0.014435086715295326,0.0025320104860721408,0.0015319207619755592,0.00255153726010138,0.6822708758316063,0.9694170771756979,150.00326531461818,2.685105636505887,0.0203064822308928,0.002439954213017138,7138.0,b'COSMOSVLA3',b'J100000.62+024107.8',150.00261,0.082,2.685516,0.082,14.3,2.3,2.18,6.55,21.0,0.0,0.0,,,0.6323963710731997,0.0003044571489554393,0.003605628592387228
3796,150.54300039824952,2.6908709381709,0.015314878971621187,0.0025296649230493614,0.011814180659822567,0.002523465429274571,0.0178316732729578,0.0026028566418977114,0.4609657638487507,0.9359725050916496,150.54383433875623,2.69003739550208,0.016230805664113026,0.0024622500136753096,8758.0,b'COSMOSVLA3',b'J100210.34+024126.4',150.543092,0.095,2.690677,0.095,14.3,2.6,2.53,5.64,13.0,0.0,0.0,,,0.7719830653244827,0.00045366009112857153,0.005373592299119738
1147,149.81689700809903,1.6281750931395131,0.011206198577980516,0.0025228613476365623,0.0029898708710731207,0.002498661087285534,-0.0017083985192558127,0.0025578202045423216,0.559079293388097,0.871031746031746,149.81661908364438,1.6284527959506763,0.013922428698549868,0.002455101415346575,8807.0,b'COSMOSVLA3',b'J095916.03+013740.4',149.816816,0.094,1.627895,0.094,14.3,2.6,2.49,5.73,17.0,0.0,0.0,,,1.0496280287736244,0.000838498434000523,0.009933691538766044
2022,150.06141198265126,1.9437337795862992,0.03584952420214754,0.0025076562288547277,0.05085850130468571,0.0025377696408440185,0.045632977323740866,0.002506228911080267,0.9247863142434946,0.9850441876274643,150.06168992786195,1.943456017881596,0.03289268052870484,0.002440898291724707,7885.0,b'COSMOSVLA3',b'J100014.82+015637.5',150.061767,0.087,1.943763,0.087,14.3,2.4,2.31,6.18,16.0,0.0,0.0,133,3,1.281651322693367,0.0012499187432435388,0.014808770839214988
2777,150.2782471688077,2.380389900008947,0.013784088550033928,0.002492359178641929,0.019262782947851137,0.0024820292866170853,0.0025750737073344304,0.002567343414209151,0.700603103371205,0.8555263872544583,150.28019323960586,2.3801119012263188,0.013634551410922745,0.0024378207762987764,7464.0,b'COSMOSVLA3',b'J100106.79+022250.2',150.278305,0.085,2.380631,0.085,14.3,2.4,2.27,6.32,17.0,0.0,0.0,682,2,0.892537818894456,0.000606366372927436,0.007183068439993562
1222,149.83956717144264,2.2353726438412154,0.015371295109508222,0.002527938388077893,0.01261624025326697,0.002520355104714389,0.0007370419543138172,0.0025716382123332823,0.8506746939089073,0.9072254023112647,149.83817731123125,2.2350946035916994,0.014939546144138558,0.0024589798569382066,7361.0,b'COSMOSVLA3',b'J095921.48+021406.8',149.839535,0.083,2.235227,0.083,14.4,2.3,2.21,6.52,14.0,0.0,0.0,,,0.5369379868599123,0.00021948970396057366,0.0025988162814717924
803,149.71273940636587,2.487001304885483,0.04344635891513397,0.002530965629711114,0.024998553673680517,0.0025412476580067614,0.01248382757116423,0.002520988020495489,0.8467712795343937,0.9858712715855573,149.7130175053164,2.4867236259379846,0.04374661325831287,0.002462576287732405,8020.0,b'COSMOSVLA3',b'J095851.06+022913.3',149.712753,0.084,2.48703,0.084,14.5,2.4,2.27,6.4,14.0,0.0,0.0,323,2,0.11428786940194445,9.835346609143869e-06,0.00011454023867400487
1856,150.02054789762744,2.0595633570678302,0.01989072750978394,0.0024954650385138146,0.011665963969510708,0.002488301626813656,-0.0010957323707061427,0.0025371646547342544,0.7390300314823803,0.9648515753050446,150.0199919491652,2.06011887284884,0.019281516740953773,0.0024287106921951824,7493.0,b'COSMOSVLA3',b'J100004.98+020335.6',150.020771,0.084,2.059905,0.084,14.5,2.4,2.25,6.43,24.0,0.0,0.0,,,1.4686511554304478,0.0016228418571737624,0.019227681895709118
