9990,COSMOSVLA3,J095750.04+020549.3,149.458536,0.1,2.09705,0.1,18.2,3.6,3.44,5.28,11,0,0
2902,COSMOSVLA3,J095750.13+015320.1,149.458902,0.044,1.888918,0.044,43.4,4.2,3.44,12.6,31,0,0
9842,COSMOSVLA3,J095750.18+022640.2,149.459107,0.11,2.444507,0.11,31.7,3.9,3.58,5.03,22,1,0
499,COSMOSVLA3,J095750.30+023747.6,149.459617,0.013,2.629899,0.013,217.0,11.0,3.46,61.3,51,1,0
8097,COSMOSVLA3,J095750.38+014413.5,149.459954,0.09,1.737109,0.09,20.0,3.5,3.35,5.96,17,0,0
8793,COSMOSVLA3,J095750.46+023726.6,149.460267,0.094,2.624079,0.094,19.8,3.6,3.43,5.77,18,0,0
3530,COSMOSVLA3,J095750.53+014922.1,149.460574,0.05,1.822815,0.05,39.0,4.1,3.57,10.9,28,0,0
1834,COSMOSVLA3,J095750.57+014450.2,149.460735,0.031,1.747279,0.031,57.0,4.4,3.16,18.0,34,0,0
10505,COSMOSVLA3,J095750.74+024241.1,149.461419,0.11,2.711419,0.11,16.9,3.5,3.34,5.05,9,0,0
9966,COSMOSVLA3,J095750.81+024511.2,149.461733,0.1,2.753132,0.1,18.3,3.7,3.52,5.21,11,0,0
5000,COSMOSVLA3,J095750.85+020949.1,149.461889,0.063,2.163647,0.063,29.4,3.8,3.43,8.58,23,0,0
5742,COSMOSVLA3,J095750.94+022438.0,149.462263,0.069,2.410564,0.069,26.5,3.7,3.38,7.82,22,0,0
959,COSMOSVLA3,J095750.97+020010.2,149.462415,0.019,2.002859,0.019,107.0,6.6,3.29,32.6,40,0,0
10412,COSMOSVLA3,J095751.03+023359.8,149.462664,0.11,2.566613,0.11,16.7,3.4,3.3,5.07,15,0,0
2313,COSMOSVLA3,J095751.04+014022.0,149.462672,0.036,1.672785,0.036,51.1,4.3,3.32,15.4,32,0,0
8556,COSMOSVLA3,J095751.07+020239.7,149.462813,0.094,2.044373,0.094,20.1,3.7,3.51,5.73,15,0,0
3833,COSMOSVLA3,J095751.08+013537.8,149.462866,0.053,1.593855,0.053,35.2,3.9,3.39,10.4,25,0,0
9625,COSMOSVLA3,J095751.22+013817.5,149.463445,0.1,1.638196,0.1,31.1,3.7,3.37,5.13,21,1,0
7642,COSMOSVLA3,J095751.27+025225.4,149.463657,0.087,2.873748,0.087,28.7,4.9,4.64,6.18,16,0,0
10309,COSMOSVLA3,J095751.34+015321.1,149.463951,0.11,1.8892,0.11,18.2,3.7,3.56,5.1,12,0,0
72,COSMOSVLA3,J095751.34+024623.1,149.463953,0.01,2.773095,0.01,1670.0,84.0,4.06,402.0,82,1,0
5765,COSMOSVLA3,J095751.35+013635.5,149.463982,0.068,1.609876,0.068,27.8,3.8,3.51,7.94,20,0,0
